account_id,t,h,action,regime
1,0,1.3100677732941295,stay,0
1,1,1.2768594319340947,stay,0
1,2,1.224782454497778,deleverage,0
1,3,1.5,stay,1
1,4,1.0,stay,1
1,5,1.0,stay,1
1,6,1.0,deleverage,1
1,7,1.5,stay,1
1,8,1.0,stay,1
1,9,1.0,stay,0
1,10,1.0988443519601987,deleverage,1
1,11,1.5,stay,1
1,12,1.0,stay,1
1,13,1.0,stay,1
2,0,1.8310474835187218,stay,0
2,1,1.6638038500387007,stay,1
2,2,1.28370912136458,stay,1
2,3,1.0558460307122248,deleverage,1
2,4,1.5,stay,1
2,5,1.3659962048326206,deleverage,1
2,6,1.5,stay,1
2,7,1.4448003045286255,stay,1
2,8,1.110047254554533,stay,1
2,9,1.0,stay,1
2,10,1.0,stay,1
2,11,1.0,stay,1
2,12,1.0,stay,1
2,13,1.0,stay,1
3,0,1.2206713894599217,deleverage,0
3,1,1.5,stay,1
3,2,1.0,deleverage,1
3,3,1.5,stay,1
3,4,1.0,deleverage,1
3,5,1.5,stay,1
3,6,1.0,deleverage,1
3,7,1.5,stay,0
3,8,1.6148322724310455,stay,1
3,9,1.3581350158094203,stay,0
3,10,1.3212871439856804,stay,0
3,11,1.3519582444916827,stay,0
3,12,1.3048452956765675,stay,1
3,13,1.0,deleverage,0
4,0,1.3259184076207249,stay,0
4,1,1.3806353714101836,stay,1
4,2,1.0491355681002674,stay,0
4,3,1.0709369480226965,deleverage,0
4,4,1.5,deleverage,1
4,5,1.5,stay,1
4,6,1.0,deleverage,1
4,7,1.5,deleverage,0
4,8,1.5,stay,1
4,9,1.0332255006557933,stay,1
4,10,1.0,deleverage,1
4,11,1.5,deleverage,1
4,12,1.5,stay,0
4,13,1.6416919879990712,stay,1
5,0,1.477576597628281,stay,0
5,1,1.54452026194831,deleverage,0
5,2,1.54452026194831,stay,0
5,3,1.4005885750656253,stay,0
5,4,1.3712792702307537,stay,0
5,5,1.2729057754749875,stay,1
5,6,1.5540919755942366,stay,0
5,7,1.591080804741274,stay,1
5,8,1.0475739633133074,deleverage,0
5,9,1.5,deleverage,1
5,10,1.5,stay,1
5,11,1.0,deleverage,1
5,12,1.5,stay,1
5,13,1.0,stay,0
6,0,1.0518363158680057,deleverage,0
6,1,1.5,stay,0
6,2,1.4305922514440157,deleverage,1
6,3,1.5,stay,1
6,4,1.0,deleverage,0
6,5,1.5,stay,1
6,6,1.0,stay,1
6,7,1.0,stay,1
6,8,1.0,stay,1
6,9,1.0,stay,1
6,10,1.0,deleverage,1
6,11,1.5,stay,1
6,12,1.0,stay,1
6,13,1.0,deleverage,1
7,0,1.25330276533542,stay,0
7,1,1.242278537032316,stay,1
7,2,1.0,stay,1
7,3,1.0,stay,1
7,4,1.0,stay,1
7,5,1.0,stay,1
7,6,1.0,stay,1
7,7,1.0,stay,1
7,8,1.0,deleverage,1
7,9,1.5,stay,0
7,10,1.3884927765135988,stay,0
7,11,1.4556297271156866,stay,1
7,12,1.0994120298285772,stay,1
7,13,1.0,stay,0
8,0,1.8031686247917538,stay,0
8,1,1.806529695251011,stay,0
8,2,1.7988416924748223,deleverage,1
8,3,1.7988416924748223,stay,1
8,4,1.591490902992107,deleverage,1
8,5,1.591490902992107,stay,1
